datetime,forecast
2023-05-06 05:00:00,15741
2023-05-08 09:45:00,15724
2023-05-08 09:45:00,15758
2023-05-08 09:45:00,15738
2023-05-08 09:45:00,15736
2023-05-08 09:45:00,15746
2023-05-08 09:45:00,15745
2023-05-08 09:45:00,15768
2023-05-08 09:45:00,15746
2023-05-08 09:45:00,15725
2023-05-08 09:45:00,15784
2023-05-08 09:45:00,15733
2023-05-08 09:45:00,15771
2023-05-08 09:45:00,15735
2023-05-08 09:45:00,15743
2023-05-08 09:45:00,15757
2023-05-08 09:45:00,15772
2023-05-08 09:45:00,15756
2023-05-08 09:45:00,15766
2023-05-08 09:45:00,15777
2023-05-08 09:45:00,15746
2023-05-08 09:45:00,15764
2023-05-08 09:45:00,15753
2023-05-08 09:45:00,15725
2023-05-08 09:45:00,15732
2023-05-08 09:45:00,15764
2023-05-08 09:45:00,15757
2023-05-08 09:45:00,15760
2023-05-08 09:45:00,15755
2023-05-08 09:45:00,15778
2023-05-08 09:45:00,15760
2023-05-08 09:45:00,15781
2023-05-08 09:45:00,15767
2023-05-08 09:45:00,15703
2023-05-08 09:45:00,15758
2023-05-08 09:45:00,15739
2023-05-08 09:45:00,15780
2023-05-08 09:45:00,15717
2023-05-08 09:45:00,15770
2023-05-08 09:45:00,15749
2023-05-08 09:45:00,15740
2023-05-08 09:45:00,15757
2023-05-08 09:45:00,15749
2023-05-08 09:45:00,15765
2023-05-08 09:45:00,15760
2023-05-08 09:45:00,15750
2023-05-08 09:45:00,15763
2023-05-08 09:45:00,15766
2023-05-08 09:45:00,15790
2023-05-08 09:45:00,15749
2023-05-08 09:45:00,15765
2023-05-08 09:45:00,15777
2023-05-08 09:45:00,15748
2023-05-08 09:45:00,15750
2023-05-08 09:45:00,15767
2023-05-08 09:45:00,15746
2023-05-08 09:45:00,15761
2023-05-08 09:45:00,15753
2023-05-08 09:45:00,15746
2023-05-08 09:45:00,15743
2023-05-08 09:45:00,15761
2023-05-08 10:45:00,15803
2023-05-08 10:45:00,15807
2023-05-08 10:45:00,15768
2023-05-08 10:45:00,15761
2023-05-08 10:45:00,15770
2023-05-08 10:45:00,15786
2023-05-08 10:45:00,15759
2023-05-08 10:45:00,15806
2023-05-08 10:45:00,15727
2023-05-08 10:45:00,15748
2023-05-08 10:45:00,15776
2023-05-08 10:45:00,15772
2023-05-08 10:45:00,15770
2023-05-08 10:45:00,15769
2023-05-08 10:45:00,15729
2023-05-08 10:45:00,15740
2023-05-08 10:45:00,15763
2023-05-08 10:45:00,15739
2023-05-08 10:45:00,15789
2023-05-08 10:45:00,15735
2023-05-08 10:45:00,15749
2023-05-08 10:45:00,15720
2023-05-08 10:45:00,15753
2023-05-08 10:45:00,15764
2023-05-08 10:45:00,15755
2023-05-08 10:45:00,15767
2023-05-08 10:45:00,15729
2023-05-08 10:45:00,15734
2023-05-08 10:45:00,15751
2023-05-08 10:45:00,15761
2023-05-08 10:45:00,15724
2023-05-08 10:45:00,15754
2023-05-08 10:45:00,15745
2023-05-08 10:45:00,15750
2023-05-08 10:45:00,15766
2023-05-08 10:45:00,15762
2023-05-08 10:45:00,15753
2023-05-08 10:45:00,15752
2023-05-08 10:45:00,15741
2023-05-08 10:45:00,15761
2023-05-08 10:45:00,15769
2023-05-08 10:45:00,15718
2023-05-08 10:45:00,15766
2023-05-08 10:45:00,15729
2023-05-08 10:45:00,15741
2023-05-08 10:45:00,15729
2023-05-08 10:45:00,15716
2023-05-08 10:45:00,15757
2023-05-08 10:45:00,15728
2023-05-08 10:45:00,15764
2023-05-08 10:45:00,15742
2023-05-08 10:45:00,15713
2023-05-08 10:45:00,15706
2023-05-08 10:45:00,15724
2023-05-08 10:45:00,15706
2023-05-08 10:45:00,15729
2023-05-08 10:45:00,15729
2023-05-08 10:45:00,15729
2023-05-08 10:45:00,15762
2023-05-08 10:45:00,15716
2023-05-08 11:45:00,15736
2023-05-08 11:45:00,15744
2023-05-08 11:45:00,15766
2023-05-08 11:45:00,15720
2023-05-08 11:45:00,15707
2023-05-08 11:45:00,15723
2023-05-08 11:45:00,15753
2023-05-08 11:45:00,15739
2023-05-08 11:45:00,15757
2023-05-08 11:45:00,15742
2023-05-08 11:45:00,15752
2023-05-08 11:45:00,15753
2023-05-08 11:45:00,15761
2023-05-08 11:45:00,15705
2023-05-08 11:45:00,15710
2023-05-08 11:45:00,15745
2023-05-08 11:45:00,15741
2023-05-08 11:45:00,15735
2023-05-08 11:45:00,15736
2023-05-08 11:45:00,15749
2023-05-08 11:45:00,15731
2023-05-08 11:45:00,15725
2023-05-08 11:45:00,15751
2023-05-08 11:45:00,15730
2023-05-08 11:45:00,15703
2023-05-08 11:45:00,15711
2023-05-08 11:45:00,15719
2023-05-08 11:45:00,15727
2023-05-08 11:45:00,15724
2023-05-08 11:45:00,15711
2023-05-08 11:45:00,15697
2023-05-08 11:45:00,15732
2023-05-08 11:45:00,15715
2023-05-08 11:45:00,15742
2023-05-08 11:45:00,15707
2023-05-08 11:45:00,15726
2023-05-08 11:45:00,15714
2023-05-08 11:45:00,15734
2023-05-08 11:45:00,15704
2023-05-08 11:45:00,15706
2023-05-08 11:45:00,15724
2023-05-08 11:45:00,15742
2023-05-08 11:45:00,15724
2023-05-08 11:45:00,15734
2023-05-08 11:45:00,15712
2023-05-08 11:45:00,15705
2023-05-08 11:45:00,15724
2023-05-08 11:45:00,15745
2023-05-08 11:45:00,15715
2023-05-08 11:45:00,15721
2023-05-08 11:45:00,15717
2023-05-08 11:45:00,15699
2023-05-08 11:45:00,15692
2023-05-08 11:45:00,15720
2023-05-08 11:45:00,15711
2023-05-08 11:45:00,15708
2023-05-08 11:45:00,15752
2023-05-08 11:45:00,15682
2023-05-08 11:45:00,15714
2023-05-08 11:45:00,15705
2023-05-08 12:45:00,15735
2023-05-08 12:45:00,15740
2023-05-08 12:45:00,15736
2023-05-08 12:45:00,15744
2023-05-08 12:45:00,15695
2023-05-08 12:45:00,15733
2023-05-08 12:45:00,15718
2023-05-08 12:45:00,15729
2023-05-08 12:45:00,15717
2023-05-08 12:45:00,15718
2023-05-08 12:45:00,15747
2023-05-08 12:45:00,15737
2023-05-08 12:45:00,15710
2023-05-08 12:45:00,15702
2023-05-08 12:45:00,15701
2023-05-08 12:45:00,15723
2023-05-08 12:45:00,15733
2023-05-08 12:45:00,15697
2023-05-08 12:45:00,15725
2023-05-08 12:45:00,15719
2023-05-08 12:45:00,15736
2023-05-08 12:45:00,15734
2023-05-08 12:45:00,15733
2023-05-08 12:45:00,15746
2023-05-08 12:45:00,15725
2023-05-08 12:45:00,15712
2023-05-08 12:45:00,15712
2023-05-08 12:45:00,15734
2023-05-08 12:45:00,15747
2023-05-08 12:45:00,15706
2023-05-08 12:45:00,15722
2023-05-08 12:45:00,15722
2023-05-08 12:45:00,15744
2023-05-08 12:45:00,15736
2023-05-08 12:45:00,15706
2023-05-08 12:45:00,15718
2023-05-08 12:45:00,15716
2023-05-08 12:45:00,15721
2023-05-08 12:45:00,15715
2023-05-08 12:45:00,15710
2023-05-08 12:45:00,15723
2023-05-08 12:45:00,15727
2023-05-08 12:45:00,15720
2023-05-08 12:45:00,15715
2023-05-08 12:45:00,15721
2023-05-08 12:45:00,15707
2023-05-08 12:45:00,15713
2023-05-08 12:45:00,15755
2023-05-08 12:45:00,15731
2023-05-08 12:45:00,15705
2023-05-08 12:45:00,15729
2023-05-08 12:45:00,15742
2023-05-08 12:45:00,15723
2023-05-08 12:45:00,15727
2023-05-08 12:45:00,15734
2023-05-08 12:45:00,15718
2023-05-08 12:45:00,15716
2023-05-08 12:45:00,15724
2023-05-08 12:45:00,15712
2023-05-08 12:45:00,15736
2023-05-08 13:45:00,15720
2023-05-08 13:45:00,15744
2023-05-08 13:45:00,15764
2023-05-08 13:45:00,15706
2023-05-08 13:45:00,15733
2023-05-08 13:45:00,15723
2023-05-08 13:45:00,15755
2023-05-08 13:45:00,15709
2023-05-08 13:45:00,15740
2023-05-08 13:45:00,15743
2023-05-08 13:45:00,15729
2023-05-08 13:45:00,15732
2023-05-08 13:45:00,15715
2023-05-08 13:45:00,15740
2023-05-08 13:45:00,15717
2023-05-08 13:45:00,15751
2023-05-08 13:45:00,15740
2023-05-08 13:45:00,15720
2023-05-08 13:45:00,15731
2023-05-08 13:45:00,15729
2023-05-08 13:45:00,15721
2023-05-08 13:45:00,15725
2023-05-08 13:45:00,15709
2023-05-08 13:45:00,15729
2023-05-08 13:45:00,15709
2023-05-08 13:45:00,15724
2023-05-08 13:45:00,15725
2023-05-08 13:45:00,15707
2023-05-08 13:45:00,15718
2023-05-08 13:45:00,15709
2023-05-08 13:45:00,15729
2023-05-08 13:45:00,15716
2023-05-08 13:45:00,15739
2023-05-08 13:45:00,15710
2023-05-08 13:45:00,15699
2023-05-08 13:45:00,15722
2023-05-08 13:45:00,15717
2023-05-08 13:45:00,15719
2023-05-08 13:45:00,15713
2023-05-08 13:45:00,15719
2023-05-08 13:45:00,15734
2023-05-08 13:45:00,15698
2023-05-08 13:45:00,15730
2023-05-08 13:45:00,15742
2023-05-08 13:45:00,15719
2023-05-08 13:45:00,15726
2023-05-08 13:45:00,15684
2023-05-08 13:45:00,15703
2023-05-08 13:45:00,15707
2023-05-08 13:45:00,15726
